"name","scientific_name","description","image_link","cleaned_name","cleaned_description"
"Aardvark","Orycteropus afer","The aardvark is a nocturnal, burrowing African mammal specialized for eating ants and termites, notable for its long snout, powerful digging claws, and large ears. It is the only living species in the order Tubulidentata.","https://a-z-animals.com/media/animals/images/original/aardvark.jpg","aardvark","The [REDACTED] is a nocturnal, burrowing African mammal specialized for eating ants and termites, notable for its long snout, powerful digging claws, and large ears. It is the only living species in the order Tubulidentata."
"Aardwolf","Proteles cristata","The aardwolf is a small, insectivorous member of the hyena family found in eastern and southern Africa. Unlike other hyenas, it feeds primarily on termites, using a long sticky tongue and reduced cheek teeth adapted for soft-bodied prey.","https://a-z-animals.com/media/2021/12/aardwolf-1024x535.jpg","aardwolf","The [REDACTED] is a small, insectivorous member of the hyena family found in eastern and southern Africa. Unlike other hyenas, it feeds primarily on termites, using a long sticky tongue and reduced cheek teeth adapted for soft-bodied prey."
"Abyssinian","Felis catus","The Abyssinian is a short-haired domestic cat breed known for its ticked (agouti) coat, alert expression, and active, social temperament.","https://a-z-animals.com/media/2026/01/shutterstock-2577928493-huge-licensed-scaled-1024x683.jpg","abyssinian","The [REDACTED] is a short-haired domestic cat breed known for its ticked (agouti) coat, alert expression, and active, social temperament."
"Abyssinian Guinea Pig","Cavia porcellus","The Abyssinian Guinea Pig is a domestic guinea pig variety distinguished by a rough, “spiky” coat created by multiple hair rosettes (whorls). It is a companion animal form of the domestic guinea pig, commonly kept as a pet worldwide.","https://a-z-animals.com/media/2021/07/Fluffiest-Animals_-Abyssinian-Guinea-Pig-1024x535.jpg","abyssinian guinea pig","The [REDACTED] is a domestic [REDACTED] [REDACTED] variety distinguished by a rough, “spiky” coat created by multiple hair rosettes (whorls). It is a companion animal form of the domestic [REDACTED] [REDACTED], commonly kept as a pet worldwide."
"Acadian Flycatcher","Empidonax virescens","The Acadian Flycatcher (Empidonax virescens) is a small insectivorous passerine in the tyrant flycatcher family (Tyrannidae), breeding in eastern North American deciduous forests and migrating to Central America and northern South America for the non-breeding season.","https://a-z-animals.com/media/2022/11/Acadian-Flycatcher-2-1024x683.jpg","acadian flycatcher","The [REDACTED] (Empidonax virescens) is a small insectivorous passerine in the tyrant [REDACTED] family (Tyrannidae), breeding in eastern North American deciduous forests and migrating to Central America and northern South America for the non-breeding season."
"Achrioptera Manga","Achrioptera manga","Achrioptera manga is a species of stick insect (order Phasmatodea) in the genus Achrioptera, endemic to Madagascar. Like other stick insects, it is primarily a foliage-feeding, camouflage-adapted insect.","https://a-z-animals.com/media/2022/06/Achrioptera-Manga-1024x614.jpg","achrioptera manga","[REDACTED] is a species of stick insect (order Phasmatodea) in the genus [REDACTED], endemic to Madagascar. Like other stick insects, it is primarily a foliage-feeding, camouflage-adapted insect."
"Ackie Monitor","Varanus acanthurus","The ackie monitor (Varanus acanthurus) is a small-to-medium Australian monitor lizard known for its distinctly spiny tail and active, terrestrial lifestyle. It’s a popular pet monitor, often discussed as ‘red’ or ‘yellow’ forms (color/locality variants).","https://a-z-animals.com/media/2022/11/Acker-Monitor-1024x683.jpg","ackie monitor","The [REDACTED] (Varanus acanthurus) is a small-to-medium Australian [REDACTED] lizard known for its distinctly spiny tail and active, terrestrial lifestyle. It’s a popular pet [REDACTED], often discussed as ‘red’ or ‘yellow’ forms (color/locality variants)."
"Addax","Addax nasomaculatus","The addax is a critically endangered Saharan antelope adapted to extreme desert life, notable for its pale coat and long, twisted horns.","https://a-z-animals.com/media/2021/10/Addax-header-1024x439.jpg","addax","The [REDACTED] is a critically endangered Saharan antelope adapted to extreme desert life, notable for its pale coat and long, twisted horns."
"Adélie Penguin","Pygoscelis adeliae","The Adélie Penguin is a small-to-medium Antarctic penguin species strongly associated with sea ice and coastal breeding colonies, recognizable by its black head, white eye-ring, and white underparts.","https://a-z-animals.com/media/Adelie-Penguins-jump-from-iceberg-in-Antarcdtica-1024x535.jpg","adelie penguin","The [REDACTED] is a small-to-medium Antarctic [REDACTED] species strongly associated with sea ice and coastal breeding colonies, recognizable by its black head, white eye-ring, and white underparts."
"Admiral Butterfly","Vanessa atalanta","The Red Admiral is a widespread nymphalid butterfly known for black wings with bold red-orange bands and white spots near the forewing tips. It is a strong flier and often migratory in parts of its range.","https://a-z-animals.com/media/2023/03/iStock-518724411-1024x683.jpg","admiral butterfly","The Red [REDACTED] is a widespread nymphalid [REDACTED] known for black wings with bold red-orange bands and white spots near the forewing tips. It is a strong flier and often migratory in parts of its range."
"Aesculapian Snake","Zamenis longissimus","A non-venomous European colubrid snake (ratsnake) known for its association with the ancient Greek/Roman healing deity Asclepius and the Rod of Asclepius symbol. Typically slender, often olive-brown to bronze, and an adept climber.","https://a-z-animals.com/media/2022/03/shutterstock_1744291100-1024x614.jpg","aesculapian snake","A non-venomous European colubrid [REDACTED] (rat[REDACTED]) known for its association with the ancient Greek/Roman healing deity Asclepius and the Rod of Asclepius symbol. Typically slender, often olive-brown to bronze, and an adept climber."
"Affenpinscher","Canis lupus familiaris","The Affenpinscher is a small toy dog breed of the domestic dog, historically kept as a ratter and companion. It is characterized by a wiry coat and a distinctive, primate-like facial expression (the name roughly means “monkey terrier” in German).","https://a-z-animals.com/media/2026/01/shutterstock-1241464174-huge-licensed-scaled-e1769800369897-1024x587.jpg","affenpinscher","The [REDACTED] is a small toy dog breed of the domestic dog, historically kept as a ratter and companion. It is characterized by a wiry coat and a distinctive, primate-like facial expression (the name roughly means “monkey terrier” in German)."
"Afghan Hound","Canis lupus familiaris","The Afghan Hound is a recognized breed of domestic dog, historically developed as a sighthound for coursing game in Afghanistan and surrounding regions. It is noted for a tall, slender build, long silky coat, and strong visual hunting instincts typical of sighthounds.","https://a-z-animals.com/media/2025/09/shutterstock-1794372778-huge-licensed-scaled-1024x491.jpg","afghan hound","The [REDACTED] is a recognized breed of domestic dog, historically developed as a sight[REDACTED] for coursing game in [REDACTED]istan and surrounding regions. It is noted for a tall, slender build, long silky coat, and strong visual hunting instincts typical of sight[REDACTED]s."
"African Bullfrog","Pyxicephalus adspersus","A very large, heavy-bodied terrestrial frog of southern and parts of eastern Africa, famous for explosive breeding after rains, strong digging behavior, and pronounced sexual size dimorphism. Males can be exceptionally robust and are known for aggressive defense of breeding sites and, in some reports, of tadpoles.","https://a-z-animals.com/media/2021/02/African-bullfrog-header-2-1024x439.jpg","african bullfrog","A very large, heavy-bodied terrestrial frog of southern and parts of eastern Africa, famous for explosive breeding after rains, strong digging behavior, and pronounced sexual size dimorphism. Males can be exceptionally robust and are known for aggressive defense of breeding sites and, in some reports, of tadpoles."
"African Bush Elephant","Loxodonta africana","The African bush elephant (Loxodonta africana) is a highly social, wide-ranging elephant of sub-Saharan Africa, known for its very large ears, massive body size, and prominent tusks. It lives in matriarch-led family groups and plays a major ecological role as an ecosystem engineer (e.g., altering vegetation structure and dispersing seeds).","https://a-z-animals.com/media/animals/images/original/1280px-African_Bush_Elephants-1024x768.jpg","african bush elephant","The [REDACTED] (Loxodonta [REDACTED]a) is a highly social, wide-ranging [REDACTED] of sub-Saharan Africa, known for its very large ears, massive body size, and prominent tusks. It lives in matriarch-led family groups and plays a major ecological role as an ecosystem engineer (e.g., altering vegetation structure and dispersing seeds)."
"African Civet","Civettictis civetta","The African civet is a nocturnal, mostly solitary viverrid (civet) native to sub-Saharan Africa, known for its masked face, ringed tail, and musky perineal scent secretions historically used in perfumery.","https://a-z-animals.com/media/animals/images/original/african_civet4.jpg","african civet","The [REDACTED] is a nocturnal, mostly solitary viverrid ([REDACTED]) native to sub-Saharan Africa, known for its masked face, ringed tail, and musky perineal scent secretions historically used in perfumery."
"African Clawed Frog","Xenopus laevis","A fully aquatic pipid frog native to sub-Saharan Africa, famous as a model organism in biology and for its historical use in pregnancy testing. It has a flattened body, smooth skin, and distinctive clawed hind feet.","https://a-z-animals.com/media/2022/02/shutterstock_68508406-1024x535.jpg","african clawed frog","A fully aquatic pipid [REDACTED] native to sub-Saharan Africa, famous as a model organism in biology and for its historical use in pregnancy testing. It has a flattened body, smooth skin, and distinctive [REDACTED] hind feet."
"African Elephant","Loxodonta africana","The African bush elephant is the largest living land mammal, a social, highly intelligent herbivore of sub-Saharan Africa, notable for its large ears, trunk, and (in both sexes typically) prominent tusks.","https://a-z-animals.com/media/2023/09/shutterstock-1705778527-huge-licensed-scaled-1024x683.jpg","african elephant","The [REDACTED] bush [REDACTED] is the largest living land mammal, a social, highly intelligent herbivore of sub-Saharan Africa, notable for its large ears, trunk, and (in both sexes typically) prominent tusks."
"African Fish Eagle","Haliaeetus vocifer","A large sea eagle of sub-Saharan Africa, strongly associated with lakes, rivers, and wetlands, famous for its far-carrying, yodeling call and bold chestnut-and-white plumage.","https://a-z-animals.com/media/2022/09/shutterstock_2081013589-1024x683.jpg","african fish eagle","A large sea [REDACTED] of sub-Saharan Africa, strongly associated with lakes, rivers, and wetlands, famous for its far-carrying, yodeling call and bold chestnut-and-white plumage."
"African Forest Elephant","Loxodonta cyclotis","The African forest elephant is a smaller, forest-adapted African elephant with straighter, downward-pointing tusks and more rounded ears, primarily inhabiting the rainforests of Central and West Africa. It is ecologically important as a major seed disperser and forest engineer.","https://a-z-animals.com/media/animals/images/original/african_elephant.jpg","african forest elephant","The [REDACTED] is a smaller, [REDACTED]-adapted [REDACTED] [REDACTED] with straighter, downward-pointing tusks and more rounded ears, primarily inhabiting the rain[REDACTED]s of Central and West Africa. It is ecologically important as a major seed disperser and [REDACTED] engineer."
"African Golden Cat","Caracal aurata","The African golden cat is a medium-sized, forest-adapted wild cat of equatorial Africa, known for highly variable coat coloration (from golden-reddish to gray or melanistic) and a secretive lifestyle.","https://a-z-animals.com/media/2022/10/african-golden-cat-Caracal-aurata-1024x614.jpg","african golden cat","The [REDACTED] is a medium-sized, forest-adapted wild [REDACTED] of equatorial Africa, known for highly variable coat coloration (from [REDACTED]-reddish to gray or melanistic) and a secretive lifestyle."
